אלמכ'תאר פי אלאמאנאת	(المختار في) الأمانات
ואלאעתקאדאת אפתתח מולפה	والاعتقادات افتتح مؤلَّفَه
באן קאל תבארך אללה אלאה	بأنْ قالَ تبارك الله إله
אסראיל אלחקיק במעני אלחק	إسرائيل الحقيق بمعنى الحق
אלמבין אלמחקק ללנאטקין	المبين المحقِّق للناطقين
וג'דאן אנפסהם חקא יקינא	وجدان أنفسهم حقًا يقينًا
פוג'דוא בהא מחסוסאתהם	فوجدوا بها محسوساتهم
וג'דאנא צחיחא פעלמוא	وجدانًا صحيحًا فعلموا
בהא מעלומאתהם עלמא צאדקא	بها معلوماتهم علمًا صادقًا
ארתפעת בד'לך ענהם אלשבה	ارتفعت بذلك عنهم الشُبَه
וזאלת מעה אלשכוך פכ'לצת	وزالت معه الشكوك فخلصت
להם אלדלאיל , וצפת להם	لهم الدلائل , وصفت لهم
אלבראהין , ותסבח פוק	البراهين , وتسبَّح فوق
כל וצף עאל ומדיח . .	كلِّ وصفٍ عالٍ ومديح . 2-
אמא עלי את'ר מא אפתתחנא	أمّا على إثر ما افتتحنا
בה מן חמד רבנא ואלת'נא	به من حمد ربّنا والثناء
עליה בקול וג'יז פאני	عليه بقول وجيز فإنّي
מצדר להד'א אלכתאב אלד'י	مصدِّر لهذا الكتاب الذي
קצד תאליפה באלאנבא ען	قصد تأليفه بالإنباء عن
סבב וקוע אלשבה ללנאס	سبب وقوع الشُبَه للنَّاس
פי מטאלבהם וען וג'ה זואלהא	في مطالبهم وعن وجه زوالها
חתי יתם וצולהם אלי אלמטלוב	حتّى يتمّ وصولهم إلى المطلوب
וען תסלט בעצ'הא בעצ'הם	وعن تسلّط بعضها بعضهم
חתי את'בתוהא חקאיק עלי	حتّى أثبتوها حقائق على
אלזהם ואלט'ן ובאללה אסתעין	الوهم والظّن وبالله أستعين
עלי כשפהא עני חתי יתם	على كشفها عنّي حتّى يتم
לי מא בה אצל אלי טאעתה	لي ما به أصل إلى طاعته
כמא סאלה ולייה עליה אלסלאם	كما سأله وليُّه عليه السَّلام
מת'ל ד'לך בקולה : H H	مثل ذلك بقوله : H H
H H H . וארי אן אג'על	H H H . وأرى أنْ أجعل
ד'לך מע כלאם ג'מלהֿ אלכתאב	ذلك مع كلام جملة الكتاب
קולא קריבא לא בעידא מן	قولاً قريبًا لا بعيدًا من
אלכלאם אלסהל לא אלעויץ	الكلام السَّهل لا العويص
מן אצול אלדלאיל ואלחג'ג'	من أصول الدلائل والحجج
לא פרועהא לכי יקרב מאכ'ד'ה	لا فروعها لكي يَقرُب مأخذَه
ויכ'ף מחמלה ויסהל תעלמה	ويخفّ محملَه ويسهُل تعلّمَه
ויצל בה קאצדה אלי אלעדל	ويصل به قاصده إلى العدل
ואלחק כמא קאל אלולי ען	والحق كما قال الوليُّ عن
אלחכמה אד'א הי קרבת :	الحكمة إذا هي قربت :
H H H H H : H H H . פאנבי	H H H H H : H H H . فأُنبئُ
אולא ען סבב וקוע אלשבה	أولاً عن سبب وقوع الشُبَه
ללנאס ואקול אן אלמעקולאת	للناس وأقول إنَّ المعقولات
למא כאנת קואעדהא מוצ'ועה	لمّا كانت قواعدها موضوعة
עלי אלמחסוסאת וכאנת אלאשיא	على المحسوسات وكانت الأشياء
אלמדרכה באלחס תקע פיהא	المُدرَكة بالحسّ تقع فيها
אלשבה באי סבב כאן מן	الشُبَه بأي سبب كان من
סבבין , וד'לך ، אמא לקלהֿ	سببين , وذلك ، إمّا لقلّة
בצר אלטאלב במטלובה ואמא	بصر الطالب بمطلوبه وإمّا
לתכ'פיפה ען נפסה בתרך	لتخفيفه عن نفسه بترك
אלתאמל ואלאסתת'באת כאנסאן	التأمُّل والاستثبات كإنسان
יטלב H H H , פאנמא יתשבה	يطلب H H H , فإنّما يتشبّه
לה לאחד אמרין אמא לאנה	له لأحد أمرين إمّا لأنه
קליל אלמערפה בה לעדם	قليل المعرفة به لعدم
אלוקוף בין ידיה פלא יערפה	الوقوف بين يديه فلا يعرفه
או ירי גירה פיחסבה H	أو يرى غيره فيحسبه H
פיכ'אד' באלאכ'ף ותרך	فيأخذ بالأخف وترك
אלאסתקצא פמאלה אלתכ'פיף	الاستقصاء فماله التخفيف
פהו ילתמסה באהון סעי	فهو يلتمسه بأهون سعي
וארכ'י באל פלד'לך לא	وأرخى بال فلذلك لا
יתבינה . כאנת איצ'א אלאשיא	يتبيّنه . كانت أيضًا الأشياء
אלמעקולה תקע פיהא אלשבה	المعقولة تقع فيها الشُبَه
לאי ואחד מן הד'ין אלסבבין	لأي واحد من هذين السببين
، אמא לאן טאלב אלמערפה	، إمّا لأنَّ طالب المعرفة
אלעקליה גיר בציר בוג'ה	العقلية غير بصير بوجه
